id,motivo_de_se_considerar_flex,fonteinfo_flex,motivacao,dificuldade,genero,cor_raca,escolaridade
402,"nao me considerava, porque desconhecia o termo mas tenho reduzido o consumo de carne por compaixao ao animais",outros,religiao,nenhuma,mulher_cis,branca,doutorado
403,"porque eu ate como carne, mas muito poucose como carne, seleciono muito a procedencia nao me faz falta",outros,saude,nenhuma,mulher_cis,branca,superior
404,"nao conhecia o termomas acho que me encaixo porque gosto de carnes, mas nao gosto de comer carne todo dia",essa_pesquisa,impacto_ambiental,nenhuma,nao_binario,branca,mestrado
405,"fui vegetariana por quase 3 anos, mas esse ano voltei a comer peixes eventualmente na comida japonesa",essa_pesquisa,impacto_ambiental,opcões muito limitadas em restaurantes e delivery,mulher_cis,branca,superior
406,orientacao da nutricionista,outros,saude,nenhuma,mulher_cis,branca,mestrado
407,"eu decidi diminuir , aos poucos a carne me traz um sentimento de culpa",essa_pesquisa,impacto_ambiental,acho que ter que cozinhar pra quem mora comigo e tambem o costume,mulher_cis,preta,superior
408,"pois apesar de nao tirar carne da minha dieta, tento consumir menos a cada dia",midias,impacto_ambiental,"as outras pessoas, eh bem dificil a socializacao de quem eh vegetariano e vegano",mulher_cis,parda,superior
409,"porquestoes ecologicas, econômicas e de saude tambem",outros,impacto_ambiental,vontade de comer carne as vezes,mulher_cis,branca,mestrado
410,nao,midias,saude,a falta de disponibilidade de tempo para produzir minha propria alimentacao,mulher_cis,parda,mestrado
411,porque tenho tentado reduzir o consumo de carne progressivamente,midias,impacto_ambiental,nenhuma,mulher_cis,branca,superior
412,porque ja nem gosto muito de comer carne,amigos,impacto_ambiental,nenhuma,mulher_cis,branca,mestrado
413,nao acho carne realmente atrativo consumo carne principalmente por ter hematocrito baixo,outros,etica_animal,pensar em combinacao de alimentos para nao prejudicar meu nivel de hematocrito e hemoglobina,mulher_cis,branca,mestrado
414,sim,essa_pesquisa,religiao,"o aspecto social da alimentacao. na maior parte das vezes, consumo carne em almocos de familia, churrascos e festas com amigos. eu gosto do sabor e do cheiro na carne, evito por escolha, porem, ter ela disponivel na mesa e optar por nao consumir ainda e dificil. em casa nao cozinhamos carne, consumimos eventualmente, via delivery.",mulher_cis,branca,mestrado
415,talvez,amigos,saude,tempo para cozinhar outros alimentos,homem_cis,branca,doutorado
416,"pois exclui a carne vermelha de minha alimentacao, porquestoes ambientais, mas ainda como frango",escola_universidade,impacto_ambiental,substituir por algo que eu goste,mulher_cis,parda,mestrado
417,"porque reduzi o maximo que pude do consumo de alimentos de origem animal do dia-a-dia e utilizo algumas pancs como alternativa, como forma de garantir uma seguranca alimentar devido aos altos financeiros da alimentacao carnivora",escola_universidade,saude,"sentir fome mais rapido que quando consumo carne, fazendo com que eu tenha que aumentar a quantidade de refeicões.",mulher_cis,parda,superior
418,concepcao de vida,outros,saude,amizades,homem_cis,branca,superior
419,"nao me interesso muito por carne vermelha, nao compro, so como se alguem me convidar pra comer nao sinto necessidade de comer carne todos os dias, muito menos em todas as refeicões",essa_pesquisa,impacto_ambiental,morar com pessoas bem carnivoras,mulher_cis,branca,mestrado
420,mudei o padrao de consumo de carne animal de 2 vezes ao dia para uma vez ao dia acredito que os processo de criacao e comercio dos animais nao sao estao no padrao da sustentabilidade ambiental a minha meta e consumir carnes apenas tres vezes por semana ate o final deste ano!,escola_universidade,impacto_ambiental,"disponibilidade e o preparo de fontes alternativas, visto que eu moro so numa metropole e essa logistica nao e facil impossibilitando a adocao da pratica! a carne e de facil e rapido preparo!",homem_cis,branca,mestrado
421,"financeiro, e reeducacao alimentar comer de tudo",outros,saude,cultura,mulher_cis,parda,superior
422,porque sigo uma dieta quase vegetariana,outros,saude,nenhuma,homem_cis,branca,superior
423,penso em saude humana e diminuir a crueldade com os animais,midias,impacto_ambiental,habito alimentar,mulher_cis,preta,superior
424,estou tentando diminuir o consumo da carne,essa_pesquisa,impacto_ambiental,nenhuma,mulher_cis,parda,superior
425,consumo menos carne bovina,midias,impacto_ambiental,nenhuma,mulher_cis,amarela,mestrado
426,"porque praticamente nao como mais carne bovina ha muitos anos, nao compro e nao preparo em casa",midias,impacto_ambiental,nenhuma,mulher_cis,branca,mestrado
427,para combater o aquecimento global,escola_universidade,impacto_ambiental,minha esposa faz para ela comer,pnr,branca,doutorado
428,"reduzo a carne por entender que seu consumo aumenta o destruicao das florestas, pelo sofrimento dos animais  e para nao fortalecer o agronegocio que destroi rios e solos e comunidades indigenas",outros,impacto_ambiental,dou hipoglicemica e as vezes meu corpo pede a proteina animal,mulher_cis,parda,superior
429,pela preocupacao em nao consumir proteina animal em pelo menos duas refeicões na semana,amigos,saude,habito e gosto pela carne,mulher_cis,branca,superior
430,melhor digestao,amigos,saude,nenhuma,mulher_cis,preta,superior
431,"nao gosto de rotulos,mas acredito que o mumdo nao tem mais condicões de suportar o agronegocio, a contaminacao das aguas, dos solos e de todo meio ambiente com pesticidas e afins",outros,etica_animal,diversificar o cardapio alimentar,pnr,pnr,superior
432,como carne apenas 1x por semana,midias,saude,convivencia social devido a cultura carnista,homem_cis,branca,superior
433,uma de minhas filhas e vegetariana e eu acompanho a dieta dela na maioria da semana,outros,etica_animal,variedade do cardapio,mulher_cis,branca,superior
434,"nao, ""flexitarianos"" nada mais sao que onivoros com baixo consumo de carnes e, talvez, de produtos de origem animal o termo e muito vago e, por isso, seu uso mais atrapalha que ajuda",midias,impacto_ambiental,comer na rua/na casa de outras pessoas,mulher_cis,branca,medio
435,"porque aboli completamente o consumo de carne de boi, frango e porco, so consumindo carne de peixe poucas vezes na semana",midias,etica_animal,variar a fonte de proteina na alimentacao,mulher_cis,branca,superior
436,porque prefiro peixe,outros,saude,nenhuma,mulher_cis,branca,medio
437,"pôde-se dizer que sim, apesar de nao utilizar nunca esse termo do dia a dia",midias,impacto_ambiental,entender quais sao outras opcões de proteina com os mesmos valores nutritivos.,mulher_cis,branca,superior
438,nunca usei essa palavra para me descrever nunca fui muito adepta ao consumo de carne por ser budista evito o consumo frequente nao acho que seja algo benefico de se consumir raramente preparo carne em casa como quando vou a restaurantes ou me oferecem,outros,religiao,nenhuma,mulher_cis,branca,superior
439,porque te tô reduzir o consumo de carne,midias,impacto_ambiental,desejo de comer carne,homem_cis,branca,superior
440,porque tenho diminuido o consumo de carne na minha dieta carne,midias,impacto_ambiental,"meu organismo nao se da bem com graos e nos últimos meses o aumento do consumo de cogumelos trouxe episodios de diarreia. evito a soja transgenica e as carnes vegetais que tem muitos ingredientes, na maioria dos casos, que nao sao saudaveis. entao tenho dificuldade para substituir a proteina",mulher_cis,branca,doutorado
441,"evito consumir carne em alguns momentos, levando em consideracao que sou amiga do meio ambiente e prezo por ele ainda nao realizei a transicao para o vegetarianismo, mas pretendo tentar",midias,impacto_ambiental,conhecer mais opcões de substituicões,mulher_cis,parda,superior
442,nao,outros,impacto_ambiental,ambiente q vivo come muita carne,mulher_cis,branca,superior
443,flexibilidade em nao comer carne,essa_pesquisa,saude,nenhuma,mulher_cis,branca,superior
444,sim,outros,impacto_ambiental,vontade de comer carne,mulher_cis,indigena,superior
445,por excluo a carne vermelha durante um dia na semana,escola_universidade,impacto_ambiental,sabor. gosto de churrasco.,mulher_cis,branca,doutorado
446,porque eu propositalmente diminuo meu consumo de carne mas nao elimino completamente,midias,impacto_ambiental,comensalidade em sociedade,mulher_cis,branca,superior
447,"penso em, num futuro proximo, parar de comer carne, e eventualmente retirar alimentos de origem animal da dieta, no entanto ainda nao acho que seja o momento mas estou num processo de reeducacao e adaptacao da alimentacao, introduzindo novas fontes de proteinas de origem vegetal acho que ser capaz de se adaptar a diversas dietas, variando as fontes de nutrientes, e importante",midias,impacto_ambiental,"habito e o mais dificil. quando penso em comer, inconscientemente penso em carne. meu paladar tambem nao e muito adaptado para gostar de certos vegetais, isso tambem limita minhas opcões. mas e algo que esta sendo trabalhado.",mulher_cis,parda,superior
448,me preocupo com o planeta,midias,impacto_ambiental,habito alimentar,mulher_cis,branca,superior
449,nunca pensei q respeito,essa_pesquisa,saude,variacao de sabores,mulher_cis,branca,mestrado
450,"por opcao pessoal, espiritual e de consciencia coletiva",outros,religiao,ainda sinto o prazer em saborear,mulher_cis,branca,doutorado
451,desconhecia essa terminologia ate o momento do questionario sempre me achei onivoro inclusive acho desnecessaria essa terminologia flexitariano parece modismo,essa_pesquisa,saude,nenhuma,mulher_cis,branca,superior
452,reduzi o consumo de carne e a substitui por alimentos com nutrientes prese tes em outros alimentos,outros,etica_animal,sabor e nutrientes (necessidade de proteina),mulher_cis,branca,doutorado
453,por ter tirado as carnes de segunda-feira e dos jantares durante a semana,midias,impacto_ambiental,gostar muito de churrasco e carne assada,mulher_cis,amarela,superior
454,sim,outros,aversao,substituir por outra proteina,mulher_cis,parda,doutorado
455,costume e tambem pelo financeiro,midias,saude,nenhuma,mulher_cis,branca,doutorado
456,porque nao concordo com a relacao escravista que temos com os animais e porque a producao de carne impacta negativamente o meio ambiente,essa_pesquisa,impacto_ambiental,memoria afetiva,mulher_cis,parda,mestrado
457,"nao faco questao da carne animal na minha alimentacao porem, se me e ofertado nao recuso nao gosto do sabor da carne( principalmente a vermelha), como por conta da necessidade da proteina no funcionamento do corpo",essa_pesquisa,aversao,o convivio familiar e social,mulher_cis,parda,superior
458,"preocupada com o modelo tradicional, onde o animal nao tem direito a ter uma vida digna ate a sua morteconfinamento e triste",outros,etica_animal,"ter tempo de preparar molhos, ate mesmo no cozimento com carne, prefiro os molhos do que a carne",mulher_cis,parda,doutorado
459,"porque exclui totalmente a carne vermelha, embutidos e mantive o frango esporadicamente",midias,religiao,"manter o nivel de proteina, sem comprometer a saúde ou sem perder horas tentando encontrar alternativas que agradem o paladar",mulher_cis,preta,superior
460,nao,outros,saude,cultura de consumo,mulher_cis,branca,superior
461,"agora que descobri este termo carne me faz muito mal nao faco questao de comer, mas minha familia e bem carnivora entao acabo comendo as vezes",essa_pesquisa,saude,"socializar com familias que so comem carne como ""mistura"".",mulher_cis,parda,superior
462,sim,escola_universidade,religiao,viverbem cohabitacao com pessoa que come carne na maioria de suas refeicoes,homem_cis,parda,superior
463,"reduzi consumo mas nao exclui, em eventos sociais aceito",amigos,impacto_ambiental,eventos familiares,mulher_cis,branca,superior
464,decidi ter um estilo de vida um pouco mais saudavel,midias,saude,"eu gosto, como fora e a oferta e abundante",mulher_cis,branca,mestrado
465,pois estou adorando habitos pra diminuir o consumo de carnes e derivados de animais da minha alimentacao acredito que a emancipacao humana passa pela emancipacao da natureza,amigos,impacto_ambiental,cultural,mulher_cis,pnr,superior
466,tenho consciencia que o consumo exacerbado de carnes prejudica nossa saude e o meio ambiente,essa_pesquisa,impacto_ambiental,"a grande oferta na cultura padronizada, e estar acostumado com essa dieta",homem_cis,branca,superior
467,"idealmente gostaria de nao consumir alimentos de origem animal apesar de gostar de carne, ovos e leite, sei que para consegui-los numa escala grande precisamos maltratar animais, sujeitar pessoas a condicões pessimas de trabalho, derrubar florestas etc como nao consegui me adaptar a uma alimentacao livre dessas condicões ruins, entendi que reduzir o consumo ja era melhor do que nada - tambem acredito que se grande parte da populacao mundial fizesse isso, os problemas por tras desse tipo de alimentacao seriam reduzidos, pois e mais facil reduzir o consumo do que deixar de comer alguma coisa para sempre outra opcao e tentar comprar esses alimentos de locais que causem menos danos - o que geralmente costuma custar mais, o que tambem resulta na reducao do consumo",midias,impacto_ambiental,"falta de opcao nos restaurantes onde costumo comer - a única opcao sem carne e omelete, e nao consigo comer a mesma coisa todos os dias. restaurantes vegetarianos, alem de mais raros, costumam ser mais caros que os que vendem opcões com carne.",mulher_cis,branca,superior
